table_name,column_name,column_description
PlayerStats_Weekly_WR_LLM,targets,Times the WR was the intended receiver of a pass for the week.
PlayerStats_Weekly_WR_LLM,receiving_yards,Yards gained from receiving passes for the week.
PlayerStats_Weekly_WR_LLM,receiving_touchdowns,Touchdowns scored from receiving passes for the week.
PlayerStats_Weekly_WR_LLM,catch_rate,The percentage of targets that were caught by the player in the week.
PlayerStats_Weekly_WR_LLM,longest_reception,The length in yards of the WR's longest single reception for the week.
PlayerStats_Weekly_WR_LLM,rushing_attempts,Rushing attempts by the WR for the week.
PlayerStats_Weekly_WR_LLM,total_rushing_yards,Rushing yards by the WR for the week.
PlayerStats_Weekly_WR_LLM,rushing_touchdowns,Rushing touchdowns by the WR for the week.
PlayerStats_Weekly_WR_LLM,fumbles,Number of times the player fumbled the ball in the week.
PlayerStats_Weekly_WR_LLM,fumbles_lost,Number of fumbles that resulted in a turnover in the week.
PlayerStats_Weekly_WR_LLM,total_fantasy_points,The player's total fantasy points for this specific week.
PlayerStats_Weekly_TE_LLM,player_weekly_stats_id,Unique primary key for this specific weekly stat line.
PlayerStats_Weekly_TE_LLM,season_id,Foreign key to `FantasySeasons_LLM` to filter by year.
PlayerStats_Weekly_TE_LLM,player_id,Foreign key to `Players_LLM` to link stats to a player's name.
PlayerStats_Weekly_TE_LLM,nfl_team_id,Foreign key to `NFLTeams_LLM` for the player's NFL team.
PlayerStats_Weekly_TE_LLM,game_week,The week of the NFL season for this stat line.
PlayerStats_Weekly_TE_LLM,opponent,The nfl_team_id of the opponent team. Join to `NFLTeams_LLM` to get the full name.
PlayerStats_Weekly_TE_LLM,receptions,Passes caught by the TE for the week.
PlayerStats_Weekly_TE_LLM,targets,Times the TE was the intended receiver of a pass for the week.
PlayerStats_Weekly_TE_LLM,receiving_yards,Yards gained from receiving passes for the week.
PlayerStats_Weekly_TE_LLM,receiving_touchdowns,Touchdowns scored from receiving passes for the week.
PlayerStats_Weekly_TE_LLM,catch_rate,The percentage of targets that were caught by the player in the week.
PlayerStats_Weekly_TE_LLM,longest_reception,The length in yards of the TE's longest single reception for the week.
PlayerStats_Weekly_TE_LLM,total_fantasy_points,The player's total fantasy points for this specific week.
PlayerStats_Weekly_K_LLM,player_weekly_stats_id,Unique primary key for this specific weekly stat line.
PlayerStats_Weekly_K_LLM,season_id,Foreign key to `FantasySeasons_LLM` to filter by year.
PlayerStats_Weekly_K_LLM,player_id,Foreign key to `Players_LLM` to link stats to a player's name.
PlayerStats_Weekly_K_LLM,nfl_team_id,Foreign key to `NFLTeams_LLM` for the player's NFL team.
PlayerStats_Weekly_K_LLM,game_week,The week of the NFL season for this stat line.
PlayerStats_Weekly_K_LLM,opponent,The nfl_team_id of the opponent team. Join to `NFLTeams_LLM` to get the full name.
PlayerStats_Weekly_K_LLM,field_goals_made,Field goals successfully made by the Kicker for the week.
PlayerStats_Weekly_K_LLM,extra_points_made,Extra points successfully made by the Kicker for the week.
PlayerStats_Weekly_K_LLM,total_fantasy_points,The player's total fantasy points for this specific week.
PlayerStats_Weekly_DST_LLM,player_weekly_stats_id,Unique primary key for this specific weekly stat line.
PlayerStats_Weekly_DST_LLM,season_id,Foreign key to `FantasySeasons_LLM` to filter by year.
PlayerStats_Weekly_DST_LLM,player_id,"Foreign key for the 'player', which for a DST is the team. NOTE: For DST, this ID corresponds to the nfl_team_id from the NFLTeams_LLM table."
PlayerStats_Weekly_DST_LLM,nfl_team_id,Foreign key for the NFL team. Links to `NFLTeams_LLM`.
PlayerStats_Weekly_DST_LLM,game_week,The week of the NFL season for this stat line.
PlayerStats_Weekly_DST_LLM,opponent,The nfl_team_id of the opponent team. Join to `NFLTeams_LLM` to get the full name.
PlayerStats_Weekly_DST_LLM,defensive_sacks,Sacks made by the defense for the week.
PlayerStats_Weekly_DST_LLM,defensive_interceptions,Interceptions made by the defense for the week.
PlayerStats_Weekly_DST_LLM,fumbles_recovered,Fumbles recovered by the defense for the week.
PlayerStats_Weekly_DST_LLM,safeties,Safeties scored by the defense for the week.
PlayerStats_Weekly_DST_LLM,defensive_touchdowns,"Touchdowns scored by the defense itself (e.g., pick-six)."
PlayerStats_Weekly_DST_LLM,return_touchdowns,Touchdowns scored by the special teams on returns.
PlayerStats_Weekly_DST_LLM,opponents_points_scored,Points allowed to the opposing offense in this game.
PlayerStats_Weekly_DST_LLM,total_fantasy_points,The team's total fantasy points for this specific week.
DraftAnalysis_Full_LLM,season_id,The season (year) of the draft.
DraftAnalysis_Full_LLM,pick_overall,The overall pick number in the entire draft.
DraftAnalysis_Full_LLM,draft_id,The unique ID for the draft entry.
DraftAnalysis_Full_LLM,round,The round number in which the player was drafted.
DraftAnalysis_Full_LLM,pick_in_round,The pick number within that specific round.
DraftAnalysis_Full_LLM,player_id,The unique ID of the drafted player.
DraftAnalysis_Full_LLM,player_name,The name of the drafted player.
DraftAnalysis_Full_LLM,player_position,The position of the player at the time of the draft.
DraftAnalysis_Full_LLM,nfl_team_id,The ID of the player's NFL team.
DraftAnalysis_Full_LLM,nfl_team_name,The name of the player's NFL team.
DraftAnalysis_Full_LLM,fantasy_team_id,The ID of the fantasy team that made the pick.
DraftAnalysis_Full_LLM,fantasy_team_name,The name of the fantasy team that made the pick.
DraftAnalysis_Full_LLM,owner_id,The ID of the owner who made the pick.
DraftAnalysis_Full_LLM,owner_name,The name of the owner who made the pick.
DraftAnalysis_Full_LLM,league_positional_draft_rank,The rank of the player at their position when they were drafted 
RegularSeasonStandings_LLM,season_id,The season (year) of the standings.
RegularSeasonStandings_LLM,fantasy_team_id,The unique ID of the fantasy team for that season.
RegularSeasonStandings_LLM,owner_id,The unique ID of the team's owner.
RegularSeasonStandings_LLM,owner_name,The name of the team's owner.
RegularSeasonStandings_LLM,fantasy_team_name,The name of the fantasy team.
RegularSeasonStandings_LLM,regular_season_wins,Number of wins during the regular season only. Excludes playoff games.
RegularSeasonStandings_LLM,regular_season_losses,Number of losses during the regular season only. Excludes playoff games.
RegularSeasonStandings_LLM,regular_season_ties,Number of ties during the regular season only. Excludes playoff games.
RegularSeasonStandings_LLM,regular_season_points_for,Total points scored by the team during the regular season only.
RegularSeasonStandings_LLM,regular_season_points_against,Total points scored against the team during the regular season only.
RegularSeasonStandings_LLM,regular_season_finish_position,"The team's final rank for the regular season, calculated by wins then points for. A rank of 1 is the best."
HeadToHeadMatchups_LLM,matchup_id,The unique primary key for a single head-to-head game.
HeadToHeadMatchups_LLM,season_id,The season (year) the matchup took place. Use this to join to other season-specific tables.
HeadToHeadMatchups_LLM,league_name,The name of the fantasy league for that season.
HeadToHeadMatchups_LLM,scoring_format,"The scoring format used for the league in that season (e.g., 'Standard', 'PPR')."
HeadToHeadMatchups_LLM,nfl_week,The corresponding week of the real-world NFL season.
HeadToHeadMatchups_LLM,fantasy_week,"The name or number of the fantasy week within the league's schedule (e.g., 'Week 1')."
HeadToHeadMatchups_LLM,matchup_category,"A high-level category for the matchup. Values are 'Regular Season', 'Postseason (Non-playoff)',or 'Playoff'."
HeadToHeadMatchups_LLM,playoff_matchup_category,"Specifies the type of playoff game, such as 'Quarterfinal', 'Semifinal', or 'Championship'. This column is only populated for playoff matchups and will be NULL for regular season games."
HeadToHeadMatchups_LLM,owner1_id,"The unique ID of owner 1, who is designated as the HOME team for this matchup."
HeadToHeadMatchups_LLM,owner1_name,The name of owner 1 (the HOME team).
HeadToHeadMatchups_LLM,owner1_team_id,The unique ID of owner 1's fantasy team for this matchup.
HeadToHeadMatchups_LLM,owner1_team_name,The name of owner 1's fantasy team.
HeadToHeadMatchups_LLM,owner1_score,The final fantasy point total for owner 1 (the HOME team).
HeadToHeadMatchups_LLM,owner2_id,"The unique ID of owner 2, who is designated as the AWAY team for this matchup."
HeadToHeadMatchups_LLM,owner2_name,The name of owner 2 (the AWAY team).
HeadToHeadMatchups_LLM,owner2_team_id,The unique ID of owner 2's fantasy team for this matchup.
HeadToHeadMatchups_LLM,owner2_team_name,The name of owner 2's fantasy team.
HeadToHeadMatchups_LLM,owner2_score,The final fantasy point total for owner 2 (the AWAY team).
HeadToHeadMatchups_LLM,winning_owner_id,The ID of the owner who won the matchup. This will be NULL if the game was a tie.
HeadToHeadMatchups_LLM,losing_owner_id,The ID of the owner who lost the matchup. This will be NULL if the game was a tie.
HeadToHeadMatchups_LLM,tie,"A boolean value (1 for true, 0 for false) indicating if the matchup ended in a tie."
HeadToHeadMatchups_LLM,margin_of_victory,"The absolute point difference between the two scores, representing the margin of victory."
OwnerCareerLeaderboard_LLM,owner_id,The unique primary key for the fantasy owner. Use this ID to join to other tables.
OwnerCareerLeaderboard_LLM,owner_name,The display name of the fantasy owner.
OwnerCareerLeaderboard_LLM,career_wins,"The owner's total number of wins across all seasons they have participated in, including both regular season and playoff games."
OwnerCareerLeaderboard_LLM,career_losses,"The owner's total number of losses across all seasons they have participated in, including both regular season and playoff games."
OwnerCareerLeaderboard_LLM,career_ties,The owner's total number of ties across all seasons they have participated in.
OwnerCareerLeaderboard_LLM,championships_won,The total number of fantasy league championships this owner has won over their career.
OwnerCareerLeaderboard_LLM,career_points_for,The total fantasy points the owner's teams have scored across their entire career.
OwnerCareerLeaderboard_LLM,career_points_against,The total fantasy points scored against the owner's teams across their entire career.
OwnerCareerLeaderboard_LLM,career_win_percentage,"The owner's career winning percentage, calculated from their total wins, losses, and ties across all games."
OwnerCareerLeaderboard_LLM,career_playoff_rate,"The percentage of seasons the owner participated in where their team qualified for the playoffs (e.g., a value of 0.44 means they made the playoffs in 44% of their seasons)."
